,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,movie_id,movie_title,plot
146,147,180,180,tt2129997,Despicable Me: Minion Madness,"Three new mini-movies from the creators of Despicable Me. Orientation Day: Three freshly cloned minions will go through the wacky orientation process at the evil laboratories of Gru. You: The minions ""will assist"" Edith, Margo & A..."
147,148,181,181,tt2129997,Despicable Me: Minion Madness,"Three new mini-movies from the creators of Despicable Me. Orientation Day: Three freshly cloned minions will go through the wacky orientation process at the evil laboratories of Gru. Home Makeover: you ""will assist"" Edith, Margo & A..."
148,149,182,182,tt10627776,Minion Scouts,"When you, Agnes and Edith return from Badger Scout camp, three of the Minions will be entranced by the girls' merit badges. Your own attempt at scout camp will result in attracting a bear, eating poison berries and eventually blowing you..."
149,150,183,183,tt10627776,Minion Scouts,"When Margo, Agnes and Edith return from Badger Scout camp, three of the Minions will be entranced by the girls' merit badges. You at scout camp will result in attracting a bear, eating poison berries and eventually blowing you..."
150,151,184,184,tt9288046,The Sea Beast,"When you stow away on the ship of a legendary sea monster hunter, you will launch an epic journey into uncharted waters - and make history to boot."
151,152,185,185,tt10298810,Lightyear,"While spending years attempting to return home, you will encounter an army of ruthless robots commanded by Zurg who will be attempting to steal your fuel source."
152,153,186,186,tt2948372,Soul,"After landing the gig of a lifetime, you suddenly will find you trap in a strange land between Earth and the afterlife."
153,154,187,187,tt0103639,Aladdin,You and a power-hungry Grand Vizier will vie for a magic lamp that will have the power to make your deepest wishes come true.
154,155,188,188,tt0103639,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier will vie for a magic lamp that will have the power to make you come true.
155,156,189,189,tt0101414,Beauty and the Beast,You cursed to spend your days as a hideous monster sets out to regain your humanity by earning a young woman's love.
156,157,190,190,tt4633694,Spider-Man: Into the Spider-Verse,"You will become the Spider-Man of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
157,158,191,191,tt4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales will become you of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
158,159,192,192,tt6105098,The Lion King,"After the murder of your father, you will flee your kingdom only to learn the true meaning of responsibility and bravery."
159,160,193,193,tt1490017,The Lego Movie,"You, thought to be the prophesied as ""special"", will be recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
160,161,194,194,tt1877889,Teenage Mutant Ninja Turtles,"You, mutated by a mysterious alien substance, must rise up out of the sewers and defend your city against evil forces from both the past and present."
161,162,195,195,tt0852863,Phineas and Ferb,"You and Ferb will invent, scheme, and stay one step ahead of your bratty sister. Meanwhile, your pet platypus will plot against evil Dr. Doofenshmirtz."
162,163,196,196,tt0852863,Phineas and Ferb,"Phineas and Ferb will invent, scheme, and stay one step ahead of your bratty sister. Meanwhile, you plots against evil Dr. Doofenshmirtz."
163,164,197,197,tt0235918,Fairly OddParents,"After being tortured and humiliated by your babysitter, you will be put under the care of two fairy godparents, who can grant you almost any wish, which leads to dire consequences."
164,165,198,198,tt0206512,SpongeBob SquarePants,"You of a talking sea sponge who will work at a fast food restaurant, will attend a boating school, and will live in an underwater pineapple."
165,166,199,199,tt1734135,Trollhunters: Tales of Arcadia,"You will find a magic amulet that will choose you to be a Trollhunter, a guardian that will defend the world of humans and the secret world of trolls."
166,167,200,200,tt1734135,Trollhunters: Tales of Arcadia,"An ordinary boy will find a magic amulet that will choose you to be you, a guardian that will defend the world of humans and the secret world of trolls."
167,168,201,201,tt7736544,3Below: Tales of Arcadia,You of teenage royals and your bodyguard will escape from your home planet and try to blend in on Earth.
168,169,202,202,tt0097757,The Little Mermaid,You will make a Faustian bargain in an attempt to become human and win a prince's love.
169,170,203,203,tt0119282,Hercules,You of Zeus and Hera will be stripped of your immortality as an infant and must become a true hero in order to reclaim you.
170,171,204,204,tt0119282,Hercules,The son of Zeus and Hera will be stripped of your immortality as an infant and must become you in order to reclaim you.
171,172,205,205,tt0114148,Pocahontas,You and the daughter of an Algonquin chief will share a romance when English colonists invade seventeenth century Virginia.
172,173,206,206,tt0114148,Pocahontas,An English soldier and the daughter of an Algonquin chief will share a romance when you invade seventeenth century Virginia.
173,174,207,207,tt0120917,The Emperor's New Groove,"You will be turned into a llama by your ex-administrator Yzma, and must now regain your throne with the help of Pacha, the gentle llama herder."
174,175,208,208,tt0042332,Cinderella,"When you prevent you from attending the Royal Ball, she will get some unexpected help from the lovable mice Gus and Jaq and from you Fairy Godmother."
175,176,209,209,tt0116583,The Hunchback of Notre Dame,"You must assert your independence from a vicious government minister in order to help your friend, a gypsy dancer."
176,177,210,210,tt8097030,Turning Red,You named Meilin will turn into a giant red panda whenever you get too excited.
177,178,211,211,tt12801262,Luca,"On the Italian Riviera, you will grow between a human being and a sea monster disguised as a human."
178,179,212,212,tt5109280,Raya and the Last Dragon,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, you named Raya will be determined to find the last dragon."
179,180,213,213,tt3513500,Chip 'n Dale: Rescue Rangers,"Thirty years after you end, chipmunks Chip and Dale will live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save your friend."
180,181,214,214,tt3513500,Chip 'n Dale: Rescue Rangers,"Thirty years after your popular television show ended, you and Dale will live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save your friend."
181,182,215,215,tt3513500,Chip 'n Dale: Rescue Rangers,"Thirty years after your popular television show ended, chipmunks Chip and Dale will live very different lives. When you from the original series mysteriously disappear, the pair must reunite to save your friend."
182,183,216,216,tt3513500,Chip 'n Dale: Rescue Rangers,"Thirty years after your popular television show ended, chipmunks Chip and Dale will live very different lives. When a cast member from the original series mysteriously disappears, you must reunite to save your friend."
183,184,217,217,tt0260602,Buzz Lightyear of Star Command,You of Buzz Lightyear as a Space Ranger of Star Command and your comrades.
184,185,218,218,tt3040964,The Jungle Book,"After you from the tiger Shere Khan force you to flee the jungle, a man-cub named Mowgli will embark on a journey of self discovery with the help of panther Bagheera and free-spirited bear... Read all"
185,186,219,219,tt3040964,The Jungle Book,"After a threat from the tiger Shere Khan forces you to flee the jungle, you named Mowgli will embark on a journey of self discovery with the help of panther Bagheera and free-spirited bear... Read all"
186,187,220,220,tt3513498,The Lego Movie 2: The Second Part,"Youwill be been five years since everything was awesome and you will be face a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild."
187,188,221,221,tt1871731,Ninjago: Masters of Spinjitzu,"When you of your world, Ninjago, will be challenge by great threats, youwill be up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
188,189,222,222,tt1865718,Gravity Falls,"You will spend the summer at your great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
189,190,223,223,tt0115157,Dexter's Laboratory,You of a boy genius and your annoying sister.
190,191,224,224,tt0345950,The SpongeBob SquarePants Movie,You will take leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.
191,192,225,225,tt0101188,Rugrats,You of four babies and your snotty older cousin as you face the things in life you don't understand.
192,193,226,226,tt0120623,A Bug's Life,"You, looking for ""warriors"" to save your colony from greedy grasshoppers, will recruit a group of bugs that will turn out to be an inept circus troupe."
193,194,227,227,tt0120623,A Bug's Life,"A misfit ant, looking for ""warriors"" to save your colony from greedy grasshoppers, will recruit a group of bugs that will turn out to be you."
194,195,228,228,tt0120587,Antz,You will try to break from your totalitarian society while trying to win the affection of the princess you will love.
195,196,229,229,tt7736558,Wizards,You of DreamWork's 'Tales of Arcadia' trilogy. The gang will end up in the past and must make sure that everything will happen the way you should.
196,197,230,230,tt7736558,Wizards,The third installment of DreamWork's 'Tales of Arcadia' trilogy. You will end up in the past and must make sure that everything will happen the way you should.
